Bea, 27, Female, Moderate contact/exposure
John, 23, Male, Minimal contact/exposure
Jeff, 65, Non-binary, Significant contact/exposure
Bob, 40, Non-binary, Moderate contact/exposure
Jackson, 36, Male, Minimal contact/exposure
Percy, 21, Male, Minimal contact/exposure
Annabeth, 23, Male, Significant contact/exposure
April, 35, Female, Moderate contact/exposure
Henry, 26, Male, Moderate contact/exposure
Johnson, 22, Male, Minimal contact/exposure
Grover, 65, Non-binary, Significant contact/exposure
Lucas, 41, Non-binary, Moderate contact/exposure
Vernon, 39, Male, Minimal contact/exposure
Hazel, 23, Male, Minimal contact/exposure
Minnie, 33, Female, Moderate contact/exposure
Lily, 11, Female, Moderate contact/exposure
James, 10, Male, Significant contact/exposure
Chandler, 50, Non-binary, Significant contact/exposure
Jesse, 70, Male, Moderate contact/exposure
Veronica, 16, Female, Minimal contact/exposure
Boar, 27, Female, Moderate contact/exposure
Bombay, 23, Male, Significant contact/exposure
March, 35, Female, Moderate contact/exposure
Hugo, 26, Male, Moderate contact/exposure
Jonny, 22, Male, Minimal contact/exposure
Jorge, 65, Non-binary, Significant contact/exposure
Lucy, 41, Non-binary, Moderate contact/exposure
Vana, 39, Male, Minimal contact/exposure
Heather, 23, Male, Minimal contact/exposure
Mickey, 33, Female, Moderate contact/exposure
Lilac, 11, Female, Moderate contact/exposure
Jona, 10, Male, Significant contact/exposure
Monika, 50, Non-binary, Significant contact/exposure
Rachel, 70, Male, Moderate contact/exposure
Rhea, 12, Female, Minimal contact/exposure
Beatrice, 27, Female, Moderate contact/exposure
Josie, 23, Male, Minimal contact/exposure
Luke, 10, Non-binary, Significant contact/exposure
Haley, 40, Non-binary, Moderate contact/exposure
Diya, 36, Male, Moderate contact/exposure
Emily, 21, Male, Minimal contact/exposure
Charlie, 23, Male, Significant contact/exposure
Kate, 35, Female, Moderate contact/exposure
Priya, 26, Male, Moderate contact/exposure
Meera, 22, Male, Minimal contact/exposure
David, 65, Non-binary, Significant contact/exposure
Dan, 41, Non-binary, Moderate contact/exposure
Mikaela, 39, Male, Minimal contact/exposure
Jedi, 10, Male, Minimal contact/exposure
Rancho, 26, Male, Minimal contact/exposure
Mike, 22, Male, Minimal contact/exposure
Paul, 65, Non-binary, Significant contact/exposure
Kristof, 41, Non-binary, Moderate contact/exposure
Brandon, 39, Male, Minimal contact/exposure
Julia, 23, Male, Minimal contact/exposure
Beth, 33, Female, Moderate contact/exposure
Jennifer, 11, Female, Moderate contact/exposure
Mark, 10, Male, Significant contact/exposure
Kris, 50, Male, Significant contact/exposure
Dawn, 70, Male, Moderate contact/exposure
Ronald, 16, Female, Minimal contact/exposure
Michelle, 27, Female, Moderate contact/exposure
Sasha, 23, Male, Minimal contact/exposure
Malia, 65, Non-binary, Significant contact/exposure
Laura, 40, Non-binary, Moderate contact/exposure
Denise, 36, Male, Minimal contact/exposure
Don, 21, Male, Minimal contact/exposure
Sam, 6, Male, Significant contact/exposure
Sanjana, 35, Female, Moderate contact/exposure
Monika, 26, Male, Moderate contact/exposure
Jon, 22, Male, Minimal contact/exposure
Madhu, 66, Non-binary, Significant contact/exposure
Maya, 41, Non-binary, Moderate contact/exposure
August, 5, Male, Minimal contact/exposure
Malini, 23, Male, Minimal contact/exposure
